review_text,rating,sentiment,review_date,city,category,platform,language_mix,review_length,review_id,product_id,product_name,aspects_mentioned
"Face Serum ka result average mila, fragrance strong. Price affordable. Disappointed ho gaya.",1,negative,2023-06-09,Bangalore,Beauty,Nykaa,hindi_english,92,SYN_010651,SYN0010651,Face Serum,general
"Zomato pe Hakka Noodles mangwaya, fresh. Delivery on time thi thi, packaging theek thi. Overall theek hai.",2,negative,2023-05-08,Jaipur,Food,Zomato,hindi_english,106,SYN_002042,SYN0002042,Hakka Noodles,general
"Face Wash ka result decent mila, fragrance strong. Price zyada tha. Nahi lena chahiye tha.",5,positive,2024-11-25,Ahmedabad,Beauty,Nykaa,hindi_english,90,SYN_008669,SYN0008669,Face Wash,general
"Myntra se Kurta Set liya, size perfect tha aur fabric thick. Delivery on time thi. Overall theek hai.",1,negative,2025-02-05,Pune,Fashion,Myntra,hindi_english,101,SYN_001115,SYN0001115,Kurta Set,general
got the delivery in less than 12 hours flipkart got installation scheduled within a day and i was able to use the dishwasher within 2 days very good experience used dishwasher a couple of times and no issues,4,4,2024-01-31,,General,Flipkart,english,207,ENG_004235,ENGSRC004235,General_Item,general
"Nykaa se Face Serum liya, skin pe feel thoda sticky hai. Packaging leak-proof thi. Delivery late thi. Value for money.",4,positive,2024-08-15,Jaipur,Beauty,Nykaa,hindi_english,118,SYN_011964,SYN0011964,Face Serum,general
"Pressure Cooker ka performance excellent hai, price reasonable. Return/replace helpful tha. Value for money.",4,positive,2023-09-05,Mumbai,Home,Amazon,hindi_english,108,SYN_011073,SYN0011073,Pressure Cooker,general
"Myntra se Sneakers liya, size thoda tight tha aur fabric lightweight. Delivery bahut fast thi. Nahi lena chahiye tha.",1,negative,2025-03-20,Jaipur,Fashion,Myntra,hindi_english,117,SYN_003003,SYN0003003,Sneakers,general
dont buy if u really not need because after 5mintus motor hitting to much,4,4,2023-04-05,,General,Flipkart,english,73,ENG_024730,ENGSRC024730,General_Item,general
"Swiggy se Margherita Pizza order kiya, taste bahut achha tha, delivery bahut fast thi. Packaging theek thi. Overall theek hai.",5,positive,2025-03-16,Jaipur,Food,Swiggy,hindi_english,126,SYN_008116,SYN0008116,Margherita Pizza,general
"Amazon pe Desk Lamp purchase kiya, build average hai. Packaging kharab thi, delivery bahut fast thi. Must try.",3,neutral,2024-10-06,Mumbai,Home,Amazon,hindi_english,110,SYN_003526,SYN0003526,Desk Lamp,general
"Powerbank ka performance below average hai, price reasonable. Return/replace helpful tha. Nahi lena chahiye tha.",3,neutral,2023-03-16,Mumbai,Kitchen,Amazon,hindi_english,112,SYN_007880,SYN0007880,Powerbank,general
average cooling not much as expected by size and reviews of cooler cooling is sufficient maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity,4,4,2023-03-28,,General,Flipkart,english,219,ENG_000016,ENGSRC000016,General_Item,general
superb design and quality i recommend this product value for money,4,4,2023-11-28,,General,Flipkart,english,66,ENG_011577,ENGSRC011577,General_Item,general
"Amazon pe Mixer Grinder purchase kiya, build average hai. Packaging theek thi, delivery bahut fast thi. Overall theek hai.",2,negative,2024-07-18,Kolkata,Kitchen,Amazon,hindi_english,122,SYN_012567,SYN0012567,Mixer Grinder,general
"Nykaa se Moisturizer liya, skin pe feel lightweight hai. Packaging leak-proof thi. Delivery bahut fast thi. Overall theek hai.",2,negative,2023-11-01,Mumbai,Beauty,Nykaa,hindi_english,126,SYN_005253,SYN0005253,Moisturizer,general
dost feel any difference in room air quality after using a month,4,4,2023-03-02,,General,Flipkart,english,64,ENG_027991,ENGSRC027991,General_Item,general
good product but no battery included5 battery needed to run this car ie extra 75 rupee for battery,4,4,2025-07-28,,General,Flipkart,english,98,ENG_018919,ENGSRC018919,General_Item,general
"Track Pants ki stitching flimsy hai, color thoda fade. Exchange/return slow tha. Nahi lena chahiye tha.",4,positive,2023-03-28,Mumbai,Fashion,Myntra,hindi_english,103,SYN_008095,SYN0008095,Track Pants,general
"Flipkart se Electric Kettle liya, quality solid. Delivery on time thi, packaging theek thi. Nahi lena chahiye tha.",3,neutral,2023-08-23,Ahmedabad,Electronics,Flipkart,hindi_english,114,SYN_000323,SYN0000323,Electric Kettle,general
"Flipkart se Steam Iron liya, quality solid. Delivery late thi, packaging kharab thi. Must try.",3,neutral,2025-04-24,Jaipur,Electronics,Flipkart,hindi_english,94,SYN_009924,SYN0009924,Steam Iron,general
"Mixer Grinder ka performance below average tha, price affordable. Warranty/return helpful tha. Must try.",4,positive,2025-09-27,Hyderabad,Home,Flipkart,hindi_english,104,SYN_007460,SYN0007460,Mixer Grinder,general
its mentioned 18 kg but it is less than 1 kg bad expression of purchase,4,4,2023-04-23,,General,Flipkart,english,71,ENG_004663,ENGSRC004663,General_Item,general
very nice product beautiful colour best in the market thank you filipcart i am happy,4,4,2024-12-25,,General,Flipkart,english,84,ENG_004706,ENGSRC004706,General_Item,general
"Nykaa se Shampoo liya, skin pe feel greasy nahi hai. Packaging sahi thi. Delivery on time thi. Phir bhi recommend karunga.",1,negative,2024-10-16,Delhi,Beauty,Nykaa,hindi_english,122,SYN_009120,SYN0009120,Shampoo,general
it looks a little small although this is a very good product,4,4,2025-06-21,,General,Flipkart,english,60,ENG_010781,ENGSRC010781,General_Item,general
after purchased few days app not available in playstore app downloaded from mylab website which not supported to install with mobile product is ok and delivery supernow app available in play store and working good later updated app availed in the play storethanks,4,4,2023-08-24,,General,Flipkart,english,263,ENG_007923,ENGSRC007923,General_Item,general
"Pune me Swiggy ka order diya: Chicken Biryani. Quantity sahi thi, garam aaya. Value for money.",1,negative,2025-02-23,Pune,Food,Swiggy,hindi_english,94,SYN_010121,SYN0010121,Chicken Biryani,general
dont buy product from flipkart this fraud selling platformpurchase water purifier on 25 july electrical failure in just 4 days of installationorder for replacement canceled by flipkart with wrong reason,4,4,2023-06-05,,General,Flipkart,english,202,ENG_026303,ENGSRC026303,General_Item,general
"Myntra se Anarkali Dress liya, size loose tha aur fabric rough. Delivery bahut fast thi. Phir bhi recommend karunga.",3,neutral,2024-11-24,Pune,Fashion,Myntra,hindi_english,116,SYN_003650,SYN0003650,Anarkali Dress,general
"Price reasonable tha, Formal Shirt overall paisa wasool. Value for money.",4,positive,2023-07-13,Jaipur,Fashion,Myntra,hindi_english,73,SYN_003942,SYN0003942,Formal Shirt,general
it was good experience of using this watchiam posting this review after using of one month all the features are working good,4,4,2025-03-25,,General,Flipkart,english,124,ENG_021827,ENGSRC021827,General_Item,general
bajaj solo microwave is really good in budget products for small family thanks for flipcart best serviceits really good product100 satisfied with product and flipcart serviceso dont think buy now thise products,4,4,2024-03-22,,General,Flipkart,english,210,ENG_035521,ENGSRC035521,General_Item,general
"Face Wash ka result decent mila, fragrance none. Price zyada tha. Must try.",5,positive,2024-10-09,Pune,Beauty,Nykaa,hindi_english,75,SYN_012631,SYN0012631,Face Wash,general
"Moisturizer ka result average mila, fragrance strong. Price mehenga tha. Disappointed ho gaya.",2,negative,2024-04-24,Delhi,Beauty,Nykaa,hindi_english,94,SYN_011444,SYN0011444,Moisturizer,general
"Bluetooth Speaker ka performance theek tha, price reasonable. Warranty/return theek tha. Disappointed ho gaya.",1,negative,2025-08-11,Hyderabad,Home,Flipkart,hindi_english,110,SYN_012158,SYN0012158,Bluetooth Speaker,general
the product is not working as expected even after installing additional filter tds is changing drastically and the engineer who visit says to turn off the purifier once filled didnt expect such worst experience with kent and also the service engineer says that should have bought another model my question is when this product doesnt work then why to sell it worst experience,4,4,2024-06-04,,General,Flipkart,english,375,ENG_026456,ENGSRC026456,General_Item,general
"LED Bulb Pack ka performance theek hai, price mehenga tha. Return/replace slow tha. Value for money.",5,positive,2025-03-09,Bangalore,Home,Amazon,hindi_english,100,SYN_003435,SYN0003435,LED Bulb Pack,general
1st time i got a damage product but than i applied for replacement and the seller approved it and i got a fresh untouch product its looks very pretty also working well thanks to flipkart,4,4,2024-01-23,,General,Flipkart,english,186,ENG_015579,ENGSRC015579,General_Item,general
they are good but handle with care and gets easily tangled,4,4,2024-04-08,,General,Flipkart,english,58,ENG_031650,ENGSRC031650,General_Item,general
packaging was so goodair pressure is also good overall quality is goodbut water consumption is lot tank empty in 89 hours,4,4,2023-02-08,,General,Flipkart,english,121,ENG_000629,ENGSRC000629,General_Item,general
"Delhi me Swiggy ka order diya: Margherita Pizza. Quantity kam thi, thik temperature. Phir bhi recommend karunga.",3,neutral,2024-10-17,Delhi,Food,Swiggy,hindi_english,112,SYN_010407,SYN0010407,Margherita Pizza,general
