id,sentence,#aspect terms,aspect_term,at_polarity
892:1,"Boot time बहुत तेज है, लगभग 35 seconds से 1 minute तक।",1,['Boot time'],['positive']
1144:1,"जब तक मैंने आपका plan $150 के लिए नहीं buy किया, tech support problem को fix नहीं करेगा।",1,['tech support'],['negative']
805:2,लेकिन resume में यह computer rock करता है!,0,[],[]
359:1,Set up was easy.,1,['Set up'],['positive']
562:1,नए Windows 8 और touchscreen functions को enjoy नहीं किया।,2,"['Windows 8', 'touchscreen functions']","['negative', 'negative']"
323:1,"मुझे ऐसी उम्मीद थी क्योंकि यह एक Apple product है, लेकिन मैं अपनी expectations को exceed करते हुए देखकर glad था, यही वो laptop जिसे अभी buy करना है।",0,[],[]
958:1,"Click pads (इन दिनों industry standard है) और lousy internal speakers के fan नहीं होने के अलावा, मेरे लिए इस notebook के बारे में things find करना hard है जो मुझे पसंद नहीं हैं, विशेष रूप से $350 price tag consider करना।",3,"['internal speakers', 'price tag', 'Click pads']","['negative', 'positive', 'negative']"
684:1,excellent in every way.,0,[],[]
282:9,कोई installation disk (DVD) शामिल नहीं है।,1,['installation disk (DVD)'],['neutral']
819:1,"यह fast है, use करने में simple और light है।",1,['use'],['positive']
130:1,"अच्छी तरह से works करता है, और मैं एक apple OS पर वापस आ के extremely happy हूं।",2,"['works', 'apple OS']","['positive', 'positive']"
791:30:00,जब से हमने इसे लिया है यह mac एक problem है।,0,[],[]
593:1,"Sure हूं कि यह light और slim नहीं है, लेकिन इसके लिए features 100% make up करती हैं।",1,['features'],['positive']
996:1,"मैं fast log on, speedy WiFi connection और long battery life (> 6 hours) से pleased हूं।",3,"['log on', 'WiFi connection', 'battery life']","['positive', 'positive', 'positive']"
314:21:00,Apple engineers ने अभी तक delete key discover नहीं की है।,1,['delete key'],['negative']
147:5,Interneting (मेरे business का part है) maintain करना बहुत difficult है।,1,['Interneting'],['negative']
3:1,"Luckily, हम सभी के लिए यह decision contemplate करने के लिए, Mac Mini की priced right है।",1,['priced'],['positive']
132:1,Small है और अभी भी बहुत powerful है।,0,[],[]
293:1,मैंने अपने State's tax-free weekend में $ 1199.00 के लिए यह model लिया और local BestBuy में MacBook के लिए $ 100 का off coupon था!,0,[],[]
663:1,"Super light, super sexy और सब कुछ बस work करता है।",1,['work'],['positive']
373:1,"केवल एक problem जो मुझे लगी थी कि track pad मेरे लिए बहुत अच्छा नहीं था, मुझे केवल इसके साथ एक या दो बार problem हुई थी, लेकिन शायद मेरा computer थोड़ा defective था।",1,['track pad'],['negative']
798:49:00,और अगर आप एक pc से switch कर रहे हैं तो मैं इसे  hilghy sugest करूंगा।,0,[],[]
759:1,यह super fast है और इसमें outstanding graphics हैं।,1,['graphics'],['positive']
326:1,लेकिन mountain lion बहुत slow है।,1,['mountain lion'],['negative']
488:1,Strong build जिसके माध्यम से वास्तव में इसकी durability add हो रही है।,2,"['durability', 'build']","['positive', 'positive']"
847:1,6-7 hours बिना चार्ज किए battery life excellent है।,1,['battery life'],['positive']
641:1,मैं Apple के product लेना enjoy करता हूं।,0,[],[]
561:1,मैंने अपना computer 2 weeks पहले ही ले लिया है और यह perfectly work करता है।,1,['work'],['positive']
357:1,मैं फिर कभी PC पर वापस नहीं जाऊंगा!,0,[],[]
