review_text,sentiment,review_id
nice mic but voice little low it could be more than better,positive,ENG_008385
"Allergic reaction nahi hua, texture thick. Nykaa service slow tha. Disappointed ho gaya.",negative,REV_002332
probably best in the market if you need best gaming laptop around 60k i think this is perfect choice for you,positive,ENG_015067
nice one affordable and good got it under the exchange offer pretty nice deal comes with a microwave kit and cook book,positive,ENG_035156
"Synthetic Hoodie ki stitching flimsy hai, color vibrant. Exchange return theek tha. Nahi lena chahiye tha.",negative,REV_005346
this is not used for your mobile phone my cash is gone not working for android and ios do not purchase all cheating products for qubo and flipkart,positive,ENG_036581
"Amazon pe LED Bulb Pack purchase kiya, build flimsy hai. Packaging sahi thi, delivery late thi. Overall theek hai.",negative,REV_005918
"Price mehenga tha tha, Formal Shirt overall great value. Value for money.",negative,REV_003385
"Price mehenga tha tha, Anarkali Dress overall okay okay. Must try.",negative,REV_012231
good qulaity not too good quality of steel is not branded,positive,ENG_004909
"Chennai me Swiggy ka order diya Margherita Pizza. Quantity kam thi, thanda pohoch gaya. Must try.",positive,REV_008530
Veg Pulao ka flavour light tha. Zomato delivery late thi. Overall theek hai.,positive,REV_006184
"Synthetic Zomato pe Veg Pulao mangwaya, theek thaak. Delivery late thi thi, packaging theek thi. Nahi lena chahiye tha.",neutral,REV_010023
"Face Wash ka result decent mila, fragrance mild. Price mehenga tha. Nahi lena chahiye tha.",negative,REV_007282
"Sunscreen SPF50 ka result average mila, fragrance strong. Price affordable. Must try.",neutral,REV_000856
"Synthetic Chennai me Swiggy ka order diya Gulab Jamun. Quantity kam thi, thik temperature. Phir bhi recommend karunga.",neutral,REV_007181
product are supoptransfer speeds 90130mbps maximumdifferent types file different types of speed transfer maximum 130 high speed love it 30 usb,positive,ENG_005197
"Price mehenga tha tha, Track Pants overall paisa wasool. Must try.",negative,REV_005216
the product is good there is problem it does not show notification,positive,ENG_021859
"Synthetic Flipkart se Trimmer liya, quality flimsy. Delivery late thi, packaging sahi thi. Value for money.",negative,REV_008343
"Bangalore me Swiggy ka order diya Masala Dosa. Quantity kam thi, thanda pohoch gaya. Nahi lena chahiye tha.",positive,REV_011016
"Restaurant se Hakka Noodles order kiya via Zomato. Portion kam tha, thik temperature. Overall theek hai.",negative,REV_006258
"Price reasonable tha, Running Shoes overall disappointing. Disappointed ho gaya.",negative,REV_001454
"Trimmer ka performance mast tha, price affordable. Warranty return slow tha. Nahi lena chahiye tha.",positive,REV_009101
"Formal Shirt ki stitching solid hai, color vibrant. Exchange return theek tha. Must try.",positive,REV_005462
Idli Sambar fresh tha aur Swiggy delivery bahut fast thi thi. Price mehenga tha. Value for money.,negative,REV_002382
"Bangalore me Swiggy ka order diya Paneer Tikka. Quantity kam thi, thik temperature. Must try.",neutral,REV_005883
"Moisturizer ka result visible mila, fragrance none. Price affordable. Must try.",negative,REV_011407
"Synthetic Amazon pe Trimmer purchase kiya, build solid hai. Packaging sahi thi, delivery on time thi. Value for money.",negative,REV_004802
"Powerbank ka performance mast tha, price zyada tha. Warranty return helpful tha. Phir bhi recommend karunga.",positive,REV_009649
"Hoodie ki stitching average hai, color as shown. Exchange return theek tha. Phir bhi recommend karunga.",neutral,REV_007321
"Synthetic Shampoo ka result visible mila, fragrance mild. Price mehenga tha. Value for money.",neutral,REV_001969
"Nykaa se Sunscreen SPF50 liya, skin pe feel lightweight hai. Packaging kharab thi. Delivery on time thi. Nahi lena chahiye tha.",neutral,REV_012179
"Zomato pe Hakka Noodles mangwaya, average. Delivery on time thi thi, packaging theek thi. Disappointed ho gaya.",negative,REV_010882
"Synthetic Steam Iron ka performance excellent tha, price zyada tha. Warranty return slow tha. Disappointed ho gaya.",negative,REV_002000
"Amazon pe Pressure Cooker purchase kiya, build flimsy hai. Packaging theek thi, delivery bahut fast thi. Overall theek hai.",neutral,REV_010628
"Flipkart se Powerbank liya, quality average. Delivery late thi, packaging sahi thi. Value for money.",positive,REV_004965
"Synthetic Moisturizer ka result decent mila, fragrance strong. Price mehenga tha. Must try.",negative,REV_000676
"Synthetic Mumbai me Swiggy ka order diya Margherita Pizza. Quantity kam thi, thik temperature. Disappointed ho gaya.",neutral,REV_012089
"Synthetic Cotton T-Shirt ki stitching flimsy hai, color vibrant. Exchange return theek tha. Overall theek hai.",negative,REV_009005
"Denim Jeans ki stitching badhiya hai, color thoda fade. Exchange return helpful tha. Overall theek hai.",negative,REV_009142
quality is below average not worth for what i paid tires are torn within a monthloose fittingsnot recommended,positive,ENG_011580
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging sahi thi. Delivery bahut fast thi. Must try.",negative,REV_001922
"Nykaa se Face Serum liya, skin pe feel lightweight hai. Packaging theek thi. Delivery late thi. Nahi lena chahiye tha.",positive,REV_007245
"Zomato pe Vada Pav mangwaya, fresh. Delivery on time thi thi, packaging leak-proof thi. Phir bhi recommend karunga.",neutral,REV_008083
"Myntra se Anarkali Dress liya, size loose tha aur fabric lightweight. Delivery late thi. Nahi lena chahiye tha.",positive,REV_002297
"Nykaa se Face Wash liya, skin pe feel lightweight hai. Packaging kharab thi. Delivery on time thi. Overall theek hai.",neutral,REV_009203
"Restaurant se Hakka Noodles order kiya via Zomato. Portion kam tha, garam aaya. Value for money.",negative,REV_005459
"Allergic reaction nahi hua, texture runny. Nykaa service slow tha. Overall theek hai.",negative,REV_000570
"Synthetic Nykaa se Moisturizer liya, skin pe feel greasy nahi hai. Packaging theek thi. Delivery late thi. Overall theek hai.",negative,REV_001656
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging leak-proof thi. Delivery late thi. Disappointed ho gaya.",negative,REV_007144
"Nykaa se Sunscreen SPF50 liya, skin pe feel lightweight hai. Packaging theek thi. Delivery on time thi. Nahi lena chahiye tha.",neutral,REV_000802
"Price affordable tha, Running Shoes overall okay okay. Overall theek hai.",positive,REV_004806
"Synthetic Myntra se Cotton T-Shirt liya, size thoda tight tha aur fabric thick. Delivery late thi. Overall theek hai.",neutral,REV_006250
"Zomato pe Veg Pulao mangwaya, fresh. Delivery late thi thi, packaging sahi thi. Disappointed ho gaya.",negative,REV_012988
"Flipkart se Trimmer liya, quality average. Delivery late thi, packaging kharab thi. Nahi lena chahiye tha.",negative,REV_006042
Synthetic Margherita Pizza fresh tha aur Swiggy delivery on time thi thi. Price zyada tha. Value for money.,neutral,REV_006459
"Nykaa se Sunscreen SPF50 liya, skin pe feel greasy nahi hai. Packaging sahi thi. Delivery late thi. Overall theek hai.",negative,REV_010452
"Cotton T-Shirt ki stitching flimsy hai, color vibrant. Exchange return theek tha. Value for money.",negative,REV_002590
"Swiggy se Idli Sambar order kiya, taste spicy tha, delivery late thi. Packaging leak-proof thi. Value for money.",neutral,REV_004369
"Swiggy se Margherita Pizza order kiya, taste average tha, delivery on time thi. Packaging leak-proof thi. Must try.",neutral,REV_000311
"Price mehenga tha tha, Hoodie overall great value. Overall theek hai.",negative,REV_008544
one word for this product just woweverything is perfectthanks to flipkart,positive,ENG_022991
good product easy to assemble operate and clean dense juice with practically no air bubbles can be used to extract juices prepare smoothies and sorbet,positive,ENG_032941
"Kurta Set ki stitching average hai, color vibrant. Exchange return helpful tha. Disappointed ho gaya.",negative,REV_002699
"Synthetic Flipkart se Trimmer liya, quality solid. Delivery on time thi, packaging kharab thi. Value for money.",neutral,REV_009997
"Zomato pe Butter Chicken mangwaya, theek thaak. Delivery late thi thi, packaging leak-proof thi. Phir bhi recommend karunga.",neutral,REV_007958
"Price affordable tha, Cotton T-Shirt overall great value. Overall theek hai.",negative,REV_004495
Rajma Chawal fresh tha aur Swiggy delivery late thi thi. Price affordable. Must try.,neutral,REV_002728
