review_text,rating,sentiment,review_date,city,category,platform,language_mix,review_length,dataset_source,review_id,product_id,product_name,aspects_mentioned
Product quality amazing hai aur delivery on time. Packaging sahi tha. #0,4,positive,2025-10-10,Jaipur,Beauty,Myntra,hindi_english,72,synthetic_reviews,SYN_000001,SYN0000001,Beauty_Item,"delivery, packaging, product_quality"
Packaging damaged thi aur product broken mila. Packaging kharab tha. #1,2,negative,2025-10-10,Chennai,Home & Kitchen,Myntra,hindi_english,71,synthetic_reviews,SYN_000002,SYN0000002,Home & Kitchen_Item,"packaging, product_quality"
Packaging mast hai aur product perfect condition mein mila. Delivery on time thi. #2,5,positive,2025-10-10,Chennai,Home & Kitchen,Swiggy,hindi_english,84,synthetic_reviews,SYN_000003,SYN0000003,Home & Kitchen_Item,"delivery, packaging"
Fantastic product! Quality great hai aur delivery fast hui. Price reasonable hai. #3,4,positive,2025-10-10,Ahmedabad,Sports,Swiggy,hindi_english,84,synthetic_reviews,SYN_000004,SYN0000004,Sports_Item,"delivery, price, product_quality"
Quality bahut kharab hai aur delivery bhi slow thi. Delivery late thi. #4,2,negative,2025-10-10,Mumbai,Fashion,Flipkart,hindi_english,73,synthetic_reviews,SYN_000005,SYN0000005,Fashion_Item,"delivery, product_quality"
Product theek hai. Kuch special nahi. Support bilkul madad nahi kiya. #5,3,neutral,2025-10-10,Chennai,Grocery,Swiggy,hindi_english,72,synthetic_reviews,SYN_000006,SYN0000006,Grocery_Item,customer_service
"Feature set badhiya hai, use karna easy. Delivery on time thi. #6",5,positive,2025-10-10,Lucknow,Books,Nykaa,hindi_english,65,synthetic_reviews,SYN_000007,SYN0000007,Books_Item,"delivery, product_quality"
Value for money bahut achha hai. Highly recommend. Price reasonable hai. #7,5,positive,2025-10-10,Chennai,Beauty,Zomato,hindi_english,75,synthetic_reviews,SYN_000008,SYN0000008,Beauty_Item,price
"Description misleading tha, value for money nahi. Value for money achha hai. #8",2,negative,2025-10-10,Chennai,Fashion,Amazon,hindi_english,79,synthetic_reviews,SYN_000009,SYN0000009,Fashion_Item,price
Quality bahut kharab hai aur delivery bhi slow thi. Support bilkul madad nahi kiya. #9,1,negative,2025-10-10,Jaipur,Books,Swiggy,hindi_english,86,synthetic_reviews,SYN_000010,SYN0000010,Books_Item,"customer_service, delivery, product_quality"
Packaging damaged thi aur product broken mila. Delivery on time thi. #10,1,negative,2025-10-10,Mumbai,Sports,Swiggy,hindi_english,72,synthetic_reviews,SYN_000011,SYN0000011,Sports_Item,"delivery, packaging, product_quality"
"Customer service poor tha, issue solve nahi hua. Price reasonable hai. #11",1,negative,2025-10-10,Jaipur,Beauty,Myntra,hindi_english,74,synthetic_reviews,SYN_000012,SYN0000012,Beauty_Item,"customer_service, price"
Packaging damaged thi aur product broken mila. Support bilkul madad nahi kiya. #12,2,negative,2025-10-10,Hyderabad,Books,Nykaa,hindi_english,82,synthetic_reviews,SYN_000013,SYN0000013,Books_Item,"customer_service, packaging, product_quality"
"Customer service poor tha, issue solve nahi hua. Price reasonable hai. #13",1,negative,2025-10-10,Hyderabad,Sports,Swiggy,hindi_english,74,synthetic_reviews,SYN_000014,SYN0000014,Sports_Item,"customer_service, price"
Packaging damaged thi aur product broken mila. Delivery late thi. #14,1,negative,2025-10-10,Lucknow,Home & Kitchen,Amazon,hindi_english,69,synthetic_reviews,SYN_000015,SYN0000015,Home & Kitchen_Item,"delivery, packaging, product_quality"
"Build quality solid hai, performance bhi acchi. Packaging sahi tha. #15",4,positive,2025-10-10,Mumbai,Sports,Flipkart,hindi_english,71,synthetic_reviews,SYN_000016,SYN0000016,Sports_Item,"packaging, product_quality"
"Build quality solid hai, performance bhi acchi. Value for money achha hai. #16",5,positive,2025-10-10,Jaipur,Books,Zomato,hindi_english,78,synthetic_reviews,SYN_000017,SYN0000017,Books_Item,"price, product_quality"
Packaging mast hai aur product perfect condition mein mila. Value for money achha hai. #17,5,positive,2025-10-10,Kolkata,Electronics,Nykaa,hindi_english,90,synthetic_reviews,SYN_000018,SYN0000018,Electronics_Item,"packaging, price"
"Build quality solid hai, performance bhi acchi. Value for money achha hai. #18",4,positive,2025-10-10,Ahmedabad,Grocery,Zomato,hindi_english,78,synthetic_reviews,SYN_000019,SYN0000019,Grocery_Item,"price, product_quality"
Packaging mast hai aur product perfect condition mein mila. Value for money achha hai. #19,4,positive,2025-10-10,Pune,Sports,Flipkart,hindi_english,90,synthetic_reviews,SYN_000020,SYN0000020,Sports_Item,"packaging, price"
Product quality amazing hai aur delivery on time. Packaging sahi tha. #20,4,positive,2025-10-10,Jaipur,Sports,Nykaa,hindi_english,73,synthetic_reviews,SYN_000021,SYN0000021,Sports_Item,"delivery, packaging, product_quality"
Fantastic product! Quality great hai aur delivery fast hui. Support bilkul madad nahi kiya. #21,4,positive,2025-10-10,Mumbai,Sports,Swiggy,hindi_english,95,synthetic_reviews,SYN_000022,SYN0000022,Sports_Item,"customer_service, delivery, product_quality"
