review_text,sentiment,language_mix,rating,review_id,product_id,category,platform,review_length_chars,estimated_tokens,will_be_truncated
nice mic but voice little low it could be more than better,positive,english,4,ENG_008385,ENGSRC008385,General,Unknown,58,16,False
"Allergic reaction nahi hua, texture thick. Nykaa service slow tha. Disappointed ho gaya.",negative,hindi_english,1,REV_002332,PROD0002332,Beauty,Nykaa,88,18,False
probably best in the market if you need best gaming laptop around 60k i think this is perfect choice for you,positive,english,4,ENG_015067,ENGSRC015067,General,Unknown,108,29,False
nice one affordable and good got it under the exchange offer pretty nice deal comes with a microwave kit and cook book,positive,english,4,ENG_035156,ENGSRC035156,General,Unknown,118,30,False
"Hoodie ki stitching flimsy hai, color vibrant. Exchange return theek tha. Nahi lena chahiye tha.",negative,hindi_english,2,REV_005346,PROD0005346,Fashion,Myntra,106,22,False
this is not used for your mobile phone my cash is gone not working for android and ios do not purchase all cheating products for qubo and flipkart,positive,english,4,ENG_036581,ENGSRC036581,General,Unknown,146,39,False
"Amazon pe LED Bulb Pack purchase kiya, build flimsy hai. Packaging sahi thi, delivery late thi. Overall theek hai.",negative,hindi_english,2,REV_005918,PROD0005918,Electronics,Amazon,114,26,False
"Price mehenga tha tha, Formal Shirt overall great value. Value for money.",negative,hindi_english,1,REV_003385,PROD0003385,Fashion,Myntra,73,16,False
"Price mehenga tha tha, Anarkali Dress overall okay okay. Must try.",negative,hindi_english,2,REV_012231,PROD0012231,Fashion,Myntra,66,15,False
good qulaity not too good quality of steel is not branded,positive,english,4,ENG_004909,ENGSRC004909,General,Unknown,57,15,False
"Chennai me Swiggy ka order diya Margherita Pizza. Quantity kam thi, thanda pohoch gaya. Must try.",positive,hindi_english,5,REV_008530,PROD0008530,General,Unknown,97,22,False
Veg Pulao ka flavour light tha. Zomato delivery late thi. Overall theek hai.,positive,hindi_english,4,REV_006184,PROD0006184,General,Unknown,76,18,False
"Zomato pe Veg Pulao mangwaya, theek thaak. Delivery late thi thi, packaging theek thi. Nahi lena chahiye tha.",neutral,hindi_english,3,REV_010023,PROD0010023,Food,Zomato,119,26,False
"Face Wash ka result decent mila, fragrance mild. Price mehenga tha. Nahi lena chahiye tha.",negative,hindi_english,1,REV_007282,PROD0007282,Beauty,Nykaa,90,21,False
"Sunscreen SPF50 ka result average mila, fragrance strong. Price affordable. Must try.",neutral,hindi_english,3,REV_000856,PROD0000856,Beauty,Nykaa,85,16,False
"Chennai me Swiggy ka order diya Gulab Jamun. Quantity kam thi, thik temperature. Phir bhi recommend karunga.",neutral,hindi_english,3,REV_007181,PROD0007181,Food,Swiggy,118,25,False
product are supoptransfer speeds 90130mbps maximumdifferent types file different types of speed transfer maximum 130 high speed love it 30 usb,positive,english,4,ENG_005197,ENGSRC005197,General,Unknown,142,29,False
"Price mehenga tha tha, Track Pants overall paisa wasool. Must try.",negative,hindi_english,2,REV_005216,PROD0005216,Fashion,Myntra,66,15,False
the product is good there is problem it does not show notification,positive,english,4,ENG_021859,ENGSRC021859,General,Unknown,66,16,False
"Flipkart se Trimmer liya, quality flimsy. Delivery late thi, packaging sahi thi. Value for money.",negative,hindi_english,1,REV_008343,PROD0008343,Electronics,Flipkart,107,22,False
"Bangalore me Swiggy ka order diya Masala Dosa. Quantity kam thi, thanda pohoch gaya. Nahi lena chahiye tha.",positive,hindi_english,5,REV_011016,PROD0011016,General,Unknown,107,25,False
"Restaurant se Hakka Noodles order kiya via Zomato. Portion kam tha, thik temperature. Overall theek hai.",negative,hindi_english,1,REV_006258,PROD0006258,Food,Zomato,104,22,False
"Price reasonable tha, Running Shoes overall disappointing. Disappointed ho gaya.",negative,hindi_english,2,REV_001454,PROD0001454,Fashion,Myntra,80,14,False
